atm_id,city_state_zip.city,city_state_zip.state,city_state_zip.zip,pos_capability,offsite_or_onsite,bank
22703,Paramus,NJ,7653,chip,onsite,jpmc
22704,Sterling Heights,MI,48313,chip,onsite,jpmc
22705,Branchton,PA,16021,chip,onsite,jpmc
22706,Santa Fe,TX,77510,chip,offsite,jpmc
22707,Galeton,CO,80622,swipe,onsite,bank_of_america
22708,Fultondale,AL,35068,chip,onsite,jpmc
22709,Swanton,MD,21561,chip,onsite,jpmc
22710,Chattaroy,WV,25667,chip,onsite,jpmc
22711,Arthur,NE,69121,chip,onsite,hsbc
22712,Rockford,IL,61107,chip,onsite,jpmc
22713,Calhoun,MO,65323,chip,onsite,jpmc
22714,Houston,TX,77282,swipe,onsite,jpmc
22715,New Windsor,IL,61465,chip,offsite,jpmc
22716,Charlotte,NC,28201,swipe,onsite,jpmc
22717,Mackinaw City,MI,49701,chip,offsite,jpmc
22718,Waynesville,GA,31566,chip,onsite,jpmc
22719,Bronx,NY,10473,chip,onsite,bank_of_america
22720,New York,NY,10170,chip,onsite,jpmc
22721,Monterey,CA,93942,swipe,onsite,jpmc
22722,Chico,CA,95928,swipe,onsite,jpmc
22723,Nineveh,IN,46164,chip,onsite,jpmc
22724,Modoc,IN,47358,swipe,onsite,jpmc
22725,Lansing,MI,48908,chip,offsite,jpmc
22726,Tylersport,PA,18971,swipe,onsite,jpmc
22727,Garland,TX,75046,chip,onsite,jpmc
22728,Gobles,MI,49055,swipe,onsite,wellsfargo
22729,Hagerstown,MD,21749,chip,onsite,jpmc
22730,Shingleton,MI,49884,chip,onsite,wellsfargo
22731,Clint,TX,79836,chip,onsite,jpmc
22732,Lynnwood,WA,98037,chip,onsite,jpmc
22733,Beech Creek,KY,42321,chip,onsite,jpmc
22734,University Place,WA,98467,swipe,onsite,bank_of_america
22735,Lozano,TX,78568,swipe,onsite,jpmc
22736,Mount Hermon,CA,95041,chip,onsite,jpmc
22737,Virginia,NE,68458,chip,onsite,jpmc
22738,Marshallville,OH,44645,chip,onsite,jpmc
22739,Cincinnati,OH,45263,swipe,onsite,jpmc
22740,Scottsdale,AZ,85251,chip,onsite,jpmc
22741,Milwaukee,WI,53206,chip,onsite,jpmc
22742,Memphis,TN,38110,chip,onsite,jpmc
22743,Romney,WV,26757,chip,onsite,jpmc
22744,Maple Hill,NC,28454,chip,onsite,jpmc
22745,Kansas City,MO,64190,chip,onsite,jpmc
22746,Cranston,RI,2910,swipe,onsite,jpmc
22747,Spring Lake,MI,49456,chip,onsite,jpmc
22748,South Boston,VA,24592,chip,onsite,jpmc
22749,Salt Lake City,UT,84165,swipe,onsite,jpmc
22750,Rossville,TN,38066,chip,onsite,jpmc
22751,Whitesboro,TX,76273,chip,onsite,jpmc
22752,Baton Rouge,LA,70822,chip,onsite,jpmc
22753,Mount Olive,MS,39119,chip,onsite,jpmc
22754,Muskegon,MI,49444,swipe,onsite,jpmc
22755,El Paso,TX,88581,chip,onsite,jpmc
22756,Villanova,PA,19085,chip,onsite,jpmc
22757,Charleston,WV,25356,chip,onsite,jpmc
22758,Mobile,AL,36626,swipe,onsite,jpmc
22759,Delmont,NJ,8314,chip,offsite,jpmc
22760,Washington,DC,20231,chip,onsite,jpmc
22761,Rochester,NY,14645,chip,onsite,jpmc
22762,Diamond,OR,97722,chip,onsite,jpmc
22763,Rabun Gap,GA,30568,chip,onsite,jpmc
22764,Pittsburgh,PA,15258,chip,onsite,jpmc
22765,Bondville,IL,61815,swipe,onsite,jpmc
22766,Hoisington,KS,67544,chip,onsite,hsbc
22767,Goode,VA,24556,chip,onsite,hsbc
22768,Eight Mile,AL,36613,chip,onsite,jpmc
22769,Ashland,KY,41105,swipe,onsite,jpmc
22770,Waco,TX,76704,swipe,onsite,jpmc
22771,Wellington,UT,84542,swipe,onsite,jpmc
22772,Monmouth,OR,97361,swipe,onsite,jpmc
22773,Long Island,VA,24569,chip,onsite,jpmc
22774,Rougon,LA,70773,chip,onsite,jpmc
22775,Sunset,SC,29685,chip,onsite,jpmc
22776,Hartford,CT,6180,swipe,onsite,jpmc
22777,Ovid,CO,80744,chip,onsite,jpmc
22778,Duluth,MN,55804,swipe,onsite,jpmc
22779,Alpharetta,GA,30005,chip,onsite,jpmc
22780,Kansas City,MO,64128,chip,onsite,jpmc
22781,Centralia,KS,66415,chip,onsite,jpmc
22782,Hazlehurst,MS,39083,chip,onsite,jpmc
22783,Rockford,MI,49351,chip,onsite,jpmc
22784,Sault Sainte Marie,MI,49783,swipe,offsite,jpmc
22785,Makoti,ND,58756,chip,onsite,jpmc
22786,Los Angeles,CA,90066,chip,onsite,jpmc
22787,Upland,CA,91784,chip,onsite,jpmc
22788,Allenton,MI,48002,swipe,onsite,jpmc
22789,Garden City,KS,67846,chip,onsite,jpmc
22790,Wayland,MI,49348,chip,onsite,jpmc
22791,Panaca,NV,89042,chip,onsite,jpmc
22792,Kiel,WI,53042,chip,onsite,jpmc
22793,Middleport,NY,14105,chip,onsite,jpmc
22794,Gaines,PA,16921,chip,onsite,jpmc
22795,Pelican,LA,71063,swipe,onsite,jpmc
22796,Spring Creek,PA,16436,chip,onsite,jpmc
22797,Sand Fork,WV,26430,chip,onsite,jpmc
22798,Atlanta,NY,14808,chip,onsite,jpmc
22799,Ontario,CA,91761,chip,offsite,jpmc
22800,Fairfield,KY,40020,swipe,onsite,wellsfargo
22801,Cohasset,MN,55721,swipe,onsite,bank_of_america
22802,South Ryegate,VT,5069,chip,offsite,jpmc
22803,West Rutland,VT,5777,chip,onsite,jpmc
22804,Harvel,IL,62538,swipe,onsite,jpmc
22805,Brooksville,FL,34605,swipe,onsite,jpmc
22806,Tyrone,NY,14887,chip,onsite,jpmc
22807,Key Colony Beach,FL,33051,chip,onsite,jpmc
22808,Creole,LA,70632,chip,onsite,jpmc
22809,Bastrop,LA,71220,chip,onsite,hsbc
22810,Leominster,MA,1453,swipe,onsite,jpmc
22811,Valley Forge,PA,19484,chip,offsite,jpmc
22812,Raleigh,NC,27650,chip,onsite,wellsfargo
22813,Temecula,CA,92592,chip,onsite,jpmc
22814,Bowbells,ND,58721,swipe,onsite,jpmc
22815,Burlington,MA,1803,chip,offsite,jpmc
22816,Oquawka,IL,61469,chip,onsite,hsbc
22817,Rush Center,KS,67575,swipe,onsite,jpmc
22818,Welcome,MD,20693,swipe,onsite,jpmc
22819,Drummond,MT,59832,chip,onsite,jpmc
22820,Grand Island,NY,14072,swipe,onsite,jpmc
22821,Pittsburgh,PA,15203,chip,onsite,jpmc
22822,Miami,FL,33128,chip,onsite,jpmc
22823,Rio Grande,NJ,8242,chip,onsite,wellsfargo
22824,Viking,MN,56760,chip,onsite,wellsfargo
22825,Isonville,KY,41149,chip,onsite,bank_of_america
22826,Walnut,IL,61376,chip,onsite,jpmc
22827,Caret,VA,22436,swipe,onsite,jpmc
22828,Troy Grove,IL,61372,swipe,onsite,jpmc
22829,Fithian,IL,61844,chip,onsite,jpmc
22830,Camp Point,IL,62320,chip,onsite,jpmc
22831,Plainfield,CT,6374,swipe,onsite,bank_of_america
22832,Alexandria,VA,22302,swipe,offsite,jpmc
22833,El Paso,TX,79907,chip,onsite,jpmc
22834,Springfield,MA,1138,chip,onsite,jpmc
22835,Allegre,KY,42203,chip,onsite,jpmc
22836,Statesboro,GA,30460,chip,onsite,jpmc
22837,Young America,MN,55568,chip,onsite,jpmc
22838,Howard Beach,NY,11414,chip,onsite,jpmc
22839,Corbin,KY,40701,swipe,onsite,jpmc
22840,Menoken,ND,58558,chip,onsite,jpmc
22841,Fayette,IA,52142,chip,onsite,jpmc
22842,Lookeba,OK,73053,chip,offsite,jpmc
22843,San Clemente,CA,92673,chip,onsite,jpmc
22844,Milford,NE,68405,chip,offsite,jpmc
22845,Mount Washington,NH,3589,chip,onsite,bank_of_america
22846,Nashville,TN,37227,swipe,onsite,jpmc
22847,Rockford,IL,61109,swipe,onsite,jpmc
22848,Highland,WI,53543,chip,onsite,hsbc
22849,Portland,OR,97290,chip,onsite,jpmc
22850,Silverton,OR,97381,chip,onsite,jpmc
22851,Carrollton,GA,30119,chip,offsite,jpmc
22852,Newtown,VA,23126,chip,onsite,jpmc
22853,Standish,ME,4084,chip,offsite,jpmc
22854,Wever,IA,52658,chip,onsite,jpmc
22855,Paincourtville,LA,70391,chip,onsite,jpmc
22856,Clarksville,MI,48815,chip,onsite,wellsfargo
22857,Fairfield,PA,17320,chip,onsite,jpmc
22858,Cornish,ME,4020,chip,onsite,wellsfargo
22859,Garden City,NY,11535,chip,onsite,jpmc
22860,Wimbledon,ND,58492,swipe,onsite,jpmc
22861,Amarillo,TX,79163,swipe,onsite,jpmc
22862,North Pitcher,NY,13124,chip,offsite,jpmc
22863,Midland,VA,22728,chip,offsite,jpmc
22864,Hillsboro,NM,88042,chip,onsite,jpmc
22865,East Corinth,VT,5076,chip,onsite,hsbc
22866,Snowshoe,WV,26209,chip,onsite,jpmc
22867,Gould,OK,73544,chip,onsite,bank_of_america
22868,Grinnell,IA,50177,chip,onsite,jpmc
22869,Palestine,IL,62451,chip,onsite,jpmc
22870,Inwood,NY,11096,swipe,onsite,jpmc
22871,Orlando,FL,32855,chip,onsite,hsbc
22872,Cincinnati,OH,45258,chip,onsite,jpmc
22873,Richmond,VA,23255,chip,onsite,jpmc
22874,Vienna,WV,26105,chip,onsite,jpmc
22875,Arpin,WI,54410,swipe,onsite,jpmc
22876,Pullman,WA,99165,chip,onsite,jpmc
22877,Yukon,WV,24899,swipe,onsite,jpmc
22878,Philadelphia,PA,19153,swipe,onsite,hsbc
22879,Salt Lake City,UT,84158,chip,onsite,jpmc
22880,Waterbury,CT,6723,chip,onsite,jpmc
22881,National City,CA,91950,chip,onsite,jpmc
22882,Caribou,ME,4736,swipe,onsite,jpmc
22883,Fort Bayard,NM,88036,chip,offsite,jpmc
22884,Harris,MO,64645,chip,onsite,bank_of_america
22885,Pollock,ID,83547,chip,onsite,jpmc
22886,Freedom,ME,4941,chip,onsite,jpmc
22887,Raysal,WV,24879,swipe,onsite,hsbc
22888,Athens,AL,35614,swipe,onsite,jpmc
22889,Ashley Falls,MA,1222,chip,offsite,jpmc
22890,Wyckoff,NJ,7481,chip,offsite,jpmc
22891,Stanton,TN,38069,swipe,onsite,jpmc
22892,Newport,TN,37822,chip,onsite,jpmc
22893,Big Springs,WV,26137,chip,onsite,jpmc
22894,South River,NJ,8877,chip,onsite,jpmc
22895,Hot Springs National Park,AR,71902,swipe,onsite,jpmc
22896,Baltimore,MD,21279,chip,onsite,jpmc
22897,New Market,TN,37820,chip,onsite,jpmc
22898,Pocono Lake Preserve,PA,18348,chip,onsite,jpmc
22899,Paint Lick,KY,40461,swipe,offsite,jpmc
22900,Counselor,NM,87018,chip,onsite,jpmc
22901,Alexander,NC,28701,chip,onsite,jpmc
22902,Torrance,CA,90509,chip,onsite,jpmc
22903,La Jolla,CA,92039,chip,onsite,jpmc
22904,Rison,AR,71665,chip,offsite,jpmc
22905,Elmira,NY,14904,chip,onsite,jpmc
22906,Rockbridge,MO,65741,chip,onsite,jpmc
22907,Raleigh,NC,27615,chip,onsite,jpmc
22908,Saint Louis,MO,63108,chip,onsite,jpmc
22909,Beaverton,MI,48612,chip,onsite,wellsfargo
22910,Ewing,NE,68735,chip,onsite,jpmc
22911,Fife Lake,MI,49633,chip,onsite,hsbc
22912,Sherrodsville,OH,44675,chip,onsite,jpmc
22913,Kent,WA,98042,chip,onsite,jpmc
22914,Hartford,CT,6154,chip,onsite,jpmc
22915,Friendswood,TX,77549,swipe,onsite,jpmc
22916,Painted Post,NY,14870,chip,onsite,jpmc
22917,Basye,VA,22810,chip,onsite,jpmc
22918,Jenners,PA,15546,chip,onsite,jpmc
22919,Monticello,MN,55590,swipe,onsite,jpmc
22920,Campton,KY,41301,chip,onsite,jpmc
22921,Rock Spring,GA,30739,chip,onsite,jpmc
22922,Harrisburg,PA,17124,chip,onsite,jpmc
22923,Frenchburg,KY,40322,swipe,onsite,jpmc
22924,Fairfield,ID,83327,chip,onsite,jpmc
22925,New Haven,WV,25265,chip,offsite,jpmc
22926,Washington,DC,20002,chip,onsite,jpmc
22927,Boulder,CO,80322,chip,onsite,jpmc
22928,Eureka,IL,61530,swipe,onsite,jpmc
22929,Reynolds,ND,58275,chip,onsite,jpmc
22930,Clayville,NY,13322,chip,onsite,hsbc
22931,Goodridge,MN,56725,swipe,onsite,jpmc
22932,Altair,TX,77412,chip,onsite,jpmc
22933,Auburn,IA,51433,chip,offsite,jpmc
22934,Gaylord,MI,49734,chip,onsite,jpmc
22935,Jonesville,IN,47247,chip,onsite,bank_of_america
22936,El Paso,TX,88512,chip,onsite,jpmc
22937,Gleason,TN,38229,chip,onsite,jpmc
22938,Syracuse,NY,13217,swipe,onsite,jpmc
22939,Milford,NH,3055,swipe,onsite,jpmc
22940,Tilly,AR,72679,chip,onsite,jpmc
22941,Red Lake Falls,MN,56750,chip,onsite,hsbc
22942,Creston,WA,99117,chip,onsite,jpmc
22943,Franklin,NC,28744,swipe,onsite,hsbc
22944,Riverton,KS,66770,chip,onsite,hsbc
22945,Modesto,CA,95397,chip,onsite,jpmc
22946,Langtry,TX,78871,chip,offsite,jpmc
22947,Lincoln,NE,68542,chip,onsite,jpmc
22948,Howland,ME,4448,chip,onsite,jpmc
22949,Eidson,TN,37731,swipe,onsite,jpmc
22950,Millersville,MD,21108,chip,offsite,jpmc
22951,Sumterville,FL,33585,chip,onsite,jpmc
22952,Eland,WI,54427,chip,onsite,jpmc
22953,Derby,KS,67037,chip,onsite,jpmc
22954,Metairie,LA,70055,swipe,onsite,jpmc
22955,Vienna,MD,21869,swipe,onsite,hsbc
22956,Grand Chenier,LA,70643,chip,onsite,bank_of_america
22957,Guild,NH,3754,chip,onsite,jpmc
22958,Kings Mills,OH,45034,chip,onsite,jpmc
22959,Rockville,MD,20848,swipe,onsite,jpmc
22960,Kooskia,ID,83539,swipe,onsite,jpmc
22961,Santa Rosa,CA,95402,swipe,onsite,jpmc
22962,Columbia,SC,29221,swipe,onsite,jpmc
22963,Salinas,CA,93902,chip,offsite,jpmc
22964,Annandale,NJ,8801,swipe,onsite,jpmc
22965,Buckfield,ME,4220,chip,onsite,jpmc
22966,Munith,MI,49259,swipe,onsite,jpmc
22967,Farmerville,LA,71241,swipe,onsite,jpmc
22968,Belmont,NH,3220,swipe,onsite,jpmc
22969,Seattle,WA,98146,chip,onsite,jpmc
22970,Coupeville,WA,98239,swipe,onsite,jpmc
22971,Merritt Island,FL,32954,chip,onsite,jpmc
22972,Mesquite,TX,75187,swipe,onsite,jpmc
22973,University,MS,38677,swipe,onsite,jpmc
22974,Auburn,PA,17922,chip,onsite,jpmc
22975,Brooksville,FL,34603,chip,onsite,wellsfargo
22976,Dallas,TX,75390,swipe,offsite,hsbc
22977,Waverly,WA,99039,chip,onsite,bank_of_america
22978,Canton,OH,44703,chip,onsite,jpmc
22979,White Lake,NY,12786,chip,onsite,jpmc
22980,Chino Hills,CA,91709,swipe,onsite,jpmc
22981,Royal,IA,51357,swipe,onsite,jpmc
22982,Cochranville,PA,19330,chip,onsite,jpmc
22983,Chicago,IL,60669,chip,onsite,jpmc
22984,Tiffin,OH,44883,chip,onsite,jpmc
22985,Warsaw,OH,43844,chip,onsite,jpmc
22986,Red Lake Falls,MN,56750,chip,onsite,jpmc
22987,Southampton,PA,18966,swipe,onsite,jpmc
22988,El Paso,TX,79915,swipe,onsite,jpmc
22989,Fresno,CA,93741,chip,onsite,bank_of_america
22990,Temple,TX,76502,chip,onsite,jpmc
22991,Oregon,OH,43616,chip,onsite,jpmc
22992,Westville,FL,32464,chip,onsite,wellsfargo
22993,Bellflower,IL,61724,chip,onsite,jpmc
22994,Saint Louis,MO,63104,chip,onsite,jpmc
22995,Millinocket,ME,4462,chip,onsite,jpmc
22996,East Saint Louis,IL,62201,chip,onsite,jpmc
22997,Gorman,TX,76454,chip,onsite,jpmc
22998,Los Angeles,CA,90064,chip,onsite,jpmc
22999,Albany,GA,31707,chip,onsite,jpmc
23000,Mount Carbon,WV,25139,chip,onsite,jpmc
23001,Slidell,TX,76267,chip,onsite,jpmc
23002,New Marshfield,OH,45766,chip,onsite,jpmc
23003,Plattsburgh,NY,12903,swipe,onsite,jpmc
23004,Rusk,TX,75785,chip,onsite,jpmc
23005,Tomball,TX,77375,swipe,onsite,jpmc
23006,New Brunswick,NJ,8906,chip,onsite,bank_of_america
23007,Des Moines,IA,50395,chip,onsite,jpmc
23008,Raleigh,NC,27661,chip,onsite,jpmc
23009,Leslie,WV,25972,swipe,onsite,jpmc
23010,Logan,OH,43138,swipe,onsite,jpmc
23011,Bonita,CA,91908,chip,onsite,jpmc
23012,Boca Raton,FL,33481,swipe,offsite,jpmc
23013,Clymer,NY,14724,chip,onsite,wellsfargo
23014,Medford,WI,54451,chip,onsite,jpmc
23015,Firth,ID,83236,swipe,onsite,jpmc
23016,Goltry,OK,73739,chip,onsite,jpmc
23017,Hagar Shores,MI,49039,chip,onsite,jpmc
23018,Boston,MA,2222,chip,onsite,jpmc
23019,Cement City,MI,49233,chip,offsite,hsbc
23020,Rotonda West,FL,33947,chip,onsite,jpmc
23021,Rockwood,IL,62280,chip,onsite,jpmc
23022,Broadus,MT,59317,chip,onsite,jpmc
23023,Gardners,PA,17324,chip,onsite,jpmc
23024,California,PA,15419,chip,onsite,jpmc
23025,Lowell,VT,5847,swipe,onsite,jpmc
23026,Siletz,OR,97380,chip,onsite,jpmc
23027,West Ridge,AR,72391,chip,onsite,jpmc
23028,Lutherville Timonium,MD,21093,chip,onsite,jpmc
23029,White Lake,NY,12786,chip,onsite,jpmc
23030,Ponte Vedra Beach,FL,32082,chip,onsite,jpmc
23031,Skykomish,WA,98288,swipe,onsite,jpmc
23032,Bon Air,AL,35032,chip,onsite,bank_of_america
23033,Brooktondale,NY,14817,chip,onsite,jpmc
23034,Austin,AR,72007,chip,onsite,wellsfargo
23035,San Diego,CA,92115,chip,onsite,jpmc
23036,San Antonio,TX,78298,chip,onsite,jpmc
23037,Lebeau,LA,71345,chip,onsite,jpmc
23038,Coker,AL,35452,chip,onsite,jpmc
23039,Charleston,WV,25304,chip,onsite,jpmc
23040,Melvin,KY,41650,chip,onsite,jpmc
23041,Sparks Glencoe,MD,21152,swipe,onsite,jpmc
23042,Salem,OR,97314,swipe,offsite,jpmc
23043,Gaithersburg,MD,20877,chip,onsite,wellsfargo
23044,Wye Mills,MD,21679,chip,onsite,jpmc
23045,Pittsburg,IL,62974,chip,onsite,jpmc
23046,Westwood,NJ,7675,swipe,onsite,jpmc
23047,Rochert,MN,56578,chip,onsite,hsbc
23048,Claymont,DE,19703,swipe,onsite,jpmc
23049,South Solon,OH,43153,chip,onsite,jpmc
23050,El Paso,TX,88574,chip,onsite,jpmc
23051,Estcourt Station,ME,4741,chip,onsite,jpmc
23052,Moshannon,PA,16859,swipe,onsite,jpmc
23053,Patterson,AR,72123,chip,onsite,jpmc
23054,Humble,TX,77345,chip,onsite,jpmc
23055,Wanamingo,MN,55983,chip,onsite,jpmc
23056,Santa Claus,IN,47579,chip,onsite,jpmc
23057,Stotts City,MO,65756,swipe,onsite,hsbc
23058,Huntsville,AL,35893,chip,onsite,jpmc
23059,London,KY,40744,chip,offsite,wellsfargo
23060,Philadelphia,PA,19121,chip,onsite,jpmc
23061,Paradise,UT,84328,chip,onsite,jpmc
23062,Buttzville,NJ,7829,chip,onsite,jpmc
23063,Merrifield,VA,22116,chip,onsite,jpmc
23064,Fletcher,OH,45326,chip,onsite,jpmc
23065,Danville,NH,3819,chip,onsite,jpmc
23066,Edison,NJ,8818,chip,onsite,jpmc
23067,Ettrick,WI,54627,swipe,onsite,jpmc
23068,Newburgh,NY,12551,chip,onsite,jpmc
23069,Galena,AK,99741,chip,onsite,jpmc
23070,Saint Louis,MO,63196,chip,onsite,jpmc
23071,Mamaroneck,NY,10543,chip,onsite,bank_of_america
23072,Herrick Center,PA,18430,swipe,onsite,jpmc
23073,East Lansing,MI,48826,swipe,onsite,jpmc
23074,Daphne,AL,36526,chip,onsite,jpmc
23075,North Attleboro,MA,2760,chip,onsite,jpmc
23076,Kemp,TX,75143,chip,onsite,jpmc
23077,Houston,TX,77035,chip,onsite,jpmc
23078,Miami,FL,33187,chip,onsite,jpmc
23079,Arenas Valley,NM,88022,chip,onsite,jpmc
23080,Ralls,TX,79357,chip,onsite,jpmc
23081,Saint Petersburg,FL,33743,chip,offsite,jpmc
23082,Troy,MI,48007,swipe,onsite,jpmc
23083,Belfast,TN,37019,chip,onsite,jpmc
23084,Weidman,MI,48893,swipe,onsite,bank_of_america
23085,Warwick,GA,31796,swipe,onsite,jpmc
23086,Blackstock,SC,29014,chip,onsite,jpmc
23087,Elizabeth,WV,26143,chip,onsite,jpmc
23088,Blacksburg,VA,24060,chip,onsite,jpmc
23089,Jarales,NM,87023,chip,onsite,jpmc
23090,Destin,FL,32541,chip,offsite,jpmc
23091,Harold,KY,41635,chip,onsite,bank_of_america
23092,Tennessee Colony,TX,75886,swipe,onsite,jpmc
23093,Binghamton,NY,13902,chip,onsite,jpmc
23094,Schenectady,NY,12303,chip,onsite,bank_of_america
23095,Morley,MO,63767,chip,onsite,jpmc
23096,Maysfield,TX,76555,chip,onsite,wellsfargo
23097,Sarles,ND,58372,chip,onsite,jpmc
23098,Gallupville,NY,12073,swipe,onsite,jpmc
23099,Fiatt,IL,61433,chip,onsite,bank_of_america
23100,Kansas City,MO,64114,swipe,onsite,jpmc
23101,Jamaica,NY,11436,chip,onsite,hsbc
23102,West Chester,IA,52359,swipe,onsite,jpmc
23103,Suffield,CT,6078,chip,onsite,jpmc
23104,Minot,ME,4258,swipe,offsite,wellsfargo
23105,Bumpus Mills,TN,37028,chip,onsite,jpmc
23106,Center Ossipee,NH,3814,swipe,onsite,jpmc
23107,Cleveland,OH,44127,swipe,onsite,jpmc
23108,Washington,DC,20524,chip,onsite,jpmc
23109,Pittsburgh,PA,15251,chip,onsite,jpmc
23110,Greenfield,OH,45165,chip,onsite,jpmc
23111,Fishs Eddy,NY,13774,chip,onsite,jpmc
23112,Homestead,FL,33031,chip,onsite,jpmc
23113,Brinklow,MD,20862,chip,onsite,jpmc
23114,Dayton,WY,82836,chip,offsite,wellsfargo
23115,Saint Paul,OR,97137,swipe,onsite,jpmc
23116,Dallas,TX,75223,chip,onsite,jpmc
23117,Mission Hills,CA,91346,chip,onsite,jpmc
23118,Guion,AR,72540,swipe,onsite,jpmc
23119,Pentress,WV,26544,chip,onsite,jpmc
23120,Mineola,NY,11501,chip,onsite,jpmc
23121,Lincoln,ME,4457,chip,onsite,jpmc
23122,Mauk,GA,31058,swipe,offsite,jpmc
23123,Murrysville,PA,15668,chip,onsite,jpmc
23124,Baton Rouge,LA,70884,swipe,onsite,wellsfargo
23125,Huntington,NY,11743,chip,onsite,jpmc
23126,Campbell,CA,95008,swipe,onsite,jpmc
23127,Edgerton,OH,43517,chip,onsite,jpmc
23128,Carroll,NE,68723,chip,onsite,jpmc
23129,Campti,LA,71411,chip,onsite,jpmc
23130,Tampa,FL,33622,chip,onsite,jpmc
23131,Newton,MS,39345,swipe,onsite,jpmc
23132,Leroy,PA,17743,swipe,onsite,jpmc
23133,Macon,GA,31296,chip,onsite,jpmc
23134,Swartswood,NJ,7877,chip,onsite,bank_of_america
23135,Atlanta,GA,30356,swipe,onsite,jpmc
23136,Sheffield,VT,5866,chip,onsite,jpmc
23137,Tulsa,OK,74132,swipe,onsite,jpmc
23138,Marathon,WI,54448,chip,onsite,jpmc
23139,Sherrill,AR,72152,swipe,onsite,jpmc
23140,Hampton,VA,23670,chip,onsite,jpmc
23141,Santa Clara,CA,95050,swipe,onsite,wellsfargo
23142,Placerville,CO,81430,chip,onsite,jpmc
23143,Memphis,TN,38157,chip,offsite,jpmc
23144,Hope,KS,67451,chip,onsite,jpmc
23145,Nicoma Park,OK,73066,chip,onsite,jpmc
23146,Mendon,MA,1756,chip,onsite,jpmc
23147,Orlando,FL,32825,chip,onsite,jpmc
23148,Grand Rapids,MI,49560,chip,onsite,jpmc
23149,Estill Springs,TN,37330,chip,onsite,jpmc
23150,Titusville,PA,16354,chip,onsite,jpmc
23151,Kansas City,MO,64138,swipe,onsite,jpmc
23152,Armbrust,PA,15616,chip,onsite,hsbc
23153,Oriental,NC,28571,chip,onsite,jpmc
23154,Jackson,MS,39269,swipe,onsite,wellsfargo
23155,Scott Bar,CA,96085,chip,onsite,jpmc
23156,Williston,ND,58801,chip,onsite,jpmc
23157,Elburn,IL,60119,chip,onsite,jpmc
23158,Grantville,GA,30220,swipe,offsite,jpmc
23159,San Francisco,CA,94134,chip,onsite,wellsfargo
7392,Reston,VA,20191,chip,onsite,bank_of_america
7393,Westtown,PA,19395,swipe,onsite,jpmc
7394,Houston,TX,77256,swipe,onsite,jpmc
7395,Sully,IA,50251,chip,onsite,wellsfargo
7396,Lostant,IL,61334,swipe,onsite,jpmc
7397,Gainesville,VA,20155,chip,onsite,hsbc
7398,Santa Rosa,CA,95405,swipe,offsite,jpmc
7399,Hamlin,NY,14464,chip,onsite,jpmc
7400,Sebago Lake,ME,4075,swipe,onsite,jpmc
7401,Whippany,NJ,7999,swipe,onsite,jpmc
7402,Marshall,MI,49068,chip,onsite,jpmc
7403,Darien,WI,53114,swipe,onsite,bank_of_america
7404,Colorado Springs,CO,80995,chip,onsite,jpmc
7405,Wilmot,NH,3287,chip,onsite,jpmc
7406,Shauck,OH,43349,chip,onsite,jpmc
7407,Cudahy,WI,53110,chip,onsite,jpmc
7408,Lisbon,NH,3585,chip,onsite,jpmc
7409,Lakeport,CA,95453,chip,onsite,jpmc
7410,Grafton,ND,58237,swipe,onsite,jpmc
